institution_key,institution_name,academic_unit_key,academic_unit_name,program_key,program_name,plan_code,plan_valid_from,plan_valid_to,requirement_ordinal,subject_code,subject_name,requirement_type,curriculum_year,year_source,term,is_annual,min_options,max_options,label_truncated,elective_for,needs_review,source_type,source_reference
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,1,IB001,Introducción a la Computación,COURSE,1,declarado en el dataset sintético,S1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,2,IB002,Matemática Básica,COURSE,1,declarado en el dataset sintético,S1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,3,IB003,Taller Inicial,COURSE,1,declarado en el dataset sintético,S2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,4,IB004,Redacción Técnica,COURSE,1,declarado en el dataset sintético,S2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,5,IB005,Física General,COURSE,1,declarado en el dataset sintético,ANUAL,true,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,6,IB006,Programación Estructurada,COURSE,2,declarado en el dataset sintético,S1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,7,IB007,Bases de Datos I,COURSE,2,declarado en el dataset sintético,S1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,8,IB008,Estadística,COURSE,2,declarado en el dataset sintético,S2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,9,IB009,Redes I,COURSE,2,declarado en el dataset sintético,S2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,10,IB010,Sistemas Digitales,COURSE,2,declarado en el dataset sintético,ANUAL,true,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,11,IB011,Programación Avanzada,COURSE,3,declarado en el dataset sintético,S1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,12,IB012,Bases de Datos II,COURSE,3,declarado en el dataset sintético,S1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,13,IB013,Redes II,COURSE,3,declarado en el dataset sintético,S2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,14,IB014,Sistemas Operativos I,COURSE,3,declarado en el dataset sintético,S2,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,15,IB015,Análisis de Sistemas,COURSE,3,declarado en el dataset sintético,ANUAL,true,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
SYN-I2,Instituto SYN-2 (sintético),SYN2-FAC,Departamento de Sistemas SYN-2,SYN2-ING,Ingeniería Sintética del Instituto,SYN2-2020,2016-03-01,,16,IB016,Arquitectura de Sistemas,COURSE,4,declarado en el dataset sintético,S1,false,,,false,,false,institution,dataset sintético de Achieve · autoría propia · ADR-024
